"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"W5KGC6","unreviewed","impa1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","inositol biosynthetic process [GO:0006021]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol phosphorylation [GO:0046854]","","inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; metal ion binding [GO:0046872]","GO:0006021; GO:0008934; GO:0046854; GO:0046855; GO:0046872; GO:0052832; GO:0052833"
"A0A3B1K2Y8","unreviewed","sema4d","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","nervous system development [GO:0007399]","extracellular region [GO:0005576]; membrane [GO:0016020]","semaphorin receptor binding [GO:0030215]","GO:0005576; GO:0007399; GO:0016020; GO:0030215"
"A0A3B1KA91","unreviewed","fut4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein glycosylation [GO:0006486]","Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]","fucosyltransferase activity [GO:0008417]","GO:0006486; GO:0008417; GO:0016021; GO:0032580"
"A0A3B1JI95","unreviewed","kdelr2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein retention in ER lumen [GO:0006621]; protein transport [GO:0015031]","COPI-coated vesicle membrane [GO:0030663]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","ER retention sequence binding [GO:0046923]","GO:0000139; GO:0005789; GO:0006621; GO:0015031; GO:0016021; GO:0030663; GO:0046923"
"A0A3B1ISF0","unreviewed","tc2n","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","","GO:0005634"
"W5LGG0","unreviewed","atp11a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","phospholipid transport [GO:0015914]","integral component of membrane [GO:0016021]","ATPase-coupled intramembrane lipid transporter activity [GO:0140326]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]","GO:0000287; GO:0005524; GO:0015914; GO:0016021; GO:0140326"
"W5JZA2","unreviewed","tp53i3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","oxidoreductase activity [GO:0016491]","GO:0016491"
"A0A3B1ICT4","unreviewed","ptprd","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","protein tyrosine phosphatase activity [GO:0004725]","GO:0004725; GO:0016021"
"A0A3B1JGN6","unreviewed","adam12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","metalloendopeptidase activity [GO:0004222]","GO:0004222"
"W5L8J3","unreviewed","nup54","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nuclear pore [GO:0005643]","","GO:0005643"
"W5LSG0","unreviewed","fut9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein glycosylation [GO:0006486]","Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]","fucosyltransferase activity [GO:0008417]","GO:0006486; GO:0008417; GO:0016021; GO:0032580"
"A0A3B1JKG8","unreviewed","rnf207","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","Hsp70 protein binding [GO:0030544]; zinc ion binding [GO:0008270]","GO:0008270; GO:0030544"
"A0A3B1IWK5","unreviewed","tmem185a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1J2A6","unreviewed","slc25a12","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","transmembrane transport [GO:0055085]","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]","calcium ion binding [GO:0005509]","GO:0005509; GO:0005743; GO:0016021; GO:0055085"
"W5K5M6","unreviewed","c15orf61","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K344","unreviewed","kcnip2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","calcium ion binding [GO:0005509]","GO:0005509"
"W5KUR3","unreviewed","slc39a1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","metal ion transmembrane transporter activity [GO:0046873]","GO:0016021; GO:0046873"
"A0A3B1IX09","unreviewed","mbnl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","metal ion binding [GO:0046872]","GO:0046872"
"A0A3B1J5C5","unreviewed","ap3s1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]","membrane coat [GO:0030117]","","GO:0006886; GO:0016192; GO:0030117"
"W5KLK5","unreviewed","sh3gl1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","","GO:0005737"
"A0A3B1K2U9","unreviewed","cckar","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","gastrin receptor activity [GO:0015054]","GO:0005886; GO:0015054; GO:0016021"
"A0A3B1JVJ1","unreviewed","ring1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","histone H2A monoubiquitination [GO:0035518]","nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]","metal ion binding [GO:0046872]; transferase activity [GO:0016740]","GO:0000151; GO:0005634; GO:0016740; GO:0035518; GO:0046872"
"A0A3B1JLW8","unreviewed","ascl4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","","DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]","GO:0003700; GO:0006357; GO:0046983"
"A0A3B1IMI9","unreviewed","ppp3ca","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","calcineurin-mediated signaling [GO:0097720]","","calmodulin binding [GO:0005516]; calmodulin-dependent protein phosphatase activity [GO:0033192]; metal ion binding [GO:0046872]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]","GO:0005516; GO:0033192; GO:0046872; GO:0097720; GO:0106306; GO:0106307"
"A0A3B1JW80","unreviewed","metap2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","definitive hemopoiesis [GO:0060216]; hematopoietic stem cell differentiation [GO:0060218]; protein initiator methionine removal [GO:0070084]; Wnt signaling pathway [GO:0016055]","cytoplasm [GO:0005737]","metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]","GO:0005737; GO:0016055; GO:0046872; GO:0060216; GO:0060218; GO:0070006; GO:0070084"
"A0A3B1J6R1","unreviewed","sfmbt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","histone binding [GO:0042393]; transcription corepressor activity [GO:0003714]","GO:0003714; GO:0005634; GO:0042393"
"W5KQV3","unreviewed","med19","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","mediator complex [GO:0016592]","transcription coregulator activity [GO:0003712]","GO:0003712; GO:0006357; GO:0016592"
"A0A3B1ITK2","unreviewed","prkd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]","GO:0004674; GO:0005524"
"A0A3B1JLE7","unreviewed","gdi1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; protein transport [GO:0015031]; small GTPase mediated signal transduction [GO:0007264]","cytoplasm [GO:0005737]","GTPase activator activity [GO:0005096]; Rab GDP-dissociation inhibitor activity [GO:0005093]","GO:0005093; GO:0005096; GO:0005737; GO:0007264; GO:0015031; GO:0043547"
"A0A3B1IFY4","unreviewed","wdr26","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5LG62","unreviewed","arid1b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","chromatin remodeling [GO:0006338]","brahma complex [GO:0035060]; nBAF complex [GO:0071565]; SWI/SNF complex [GO:0016514]","DNA binding [GO:0003677]","GO:0003677; GO:0006338; GO:0016514; GO:0035060; GO:0071565"
"A0A3B1JVS8","unreviewed","gpr149","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1K3H6","unreviewed","med15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription by RNA polymerase II [GO:0006357]","mediator complex [GO:0016592]","transcription coregulator activity [GO:0003712]","GO:0003712; GO:0006357; GO:0016592"
"W5LA47","unreviewed","atp4b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","potassium ion transport [GO:0006813]; sodium ion transport [GO:0006814]","sodium:potassium-exchanging ATPase complex [GO:0005890]","","GO:0005890; GO:0006813; GO:0006814"
"A0A3B1JHS9","unreviewed","ube2t","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; transferase activity [GO:0016740]","GO:0005524; GO:0016740"
"A0A3B1KH10","unreviewed","tmem184b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IUN2","unreviewed","clpx","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATPase activity [GO:0016887]; ATP binding [GO:0005524]","GO:0005524; GO:0016887"
"W5LTK2","unreviewed","znf319","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1J4L5","unreviewed","garnl3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; regulation of small GTPase mediated signal transduction [GO:0051056]","","GTPase activator activity [GO:0005096]","GO:0005096; GO:0043547; GO:0051056"
"A0A3B1JNA6","unreviewed","marf1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","meiotic cell cycle [GO:0051321]; oogenesis [GO:0048477]; regulation of gene expression [GO:0010468]","peroxisome [GO:0005777]","RNA binding [GO:0003723]","GO:0003723; GO:0005777; GO:0010468; GO:0048477; GO:0051321"
"A0A3B1J2R2","unreviewed","tshr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","female gonad development [GO:0008585]; male gonad development [GO:0008584]; ovulation [GO:0030728]; spermatogenesis [GO:0007283]","basolateral plasma membrane [GO:0016323]; integral component of membrane [GO:0016021]","luteinizing hormone receptor activity [GO:0004964]; thyroid-stimulating hormone receptor activity [GO:0004996]","GO:0004964; GO:0004996; GO:0007283; GO:0008584; GO:0008585; GO:0016021; GO:0016323; GO:0030728"
"A0A3B1IMU0","unreviewed","nfe2l1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cellular response to oxidative stress [GO:0034599]; cholesterol metabolic process [GO:0008203]","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; lipid binding [GO:0008289]","GO:0003677; GO:0003700; GO:0005634; GO:0005789; GO:0008203; GO:0008289; GO:0016021; GO:0034599"
"A0A3B1JN20","unreviewed","dmrta1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of transcription, DNA-templated [GO:0006355]","nucleus [GO:0005634]","metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]","GO:0005634; GO:0006355; GO:0043565; GO:0046872"
"W5KZQ1","unreviewed","sorcs3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5K979","unreviewed","hesx1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","forebrain development [GO:0030900]","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]","GO:0000981; GO:0003677; GO:0005634; GO:0030900"
"A0A3B1JN12","unreviewed","bsn","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","synapse assembly [GO:0007416]","presynaptic active zone [GO:0048786]","","GO:0007416; GO:0048786"
"W5K1C6","unreviewed","colgalt1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5K0Y9","unreviewed","gpat4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]","transferase activity, transferring acyl groups [GO:0016746]","GO:0005783; GO:0016021; GO:0016746"
"W5LPR2","unreviewed","grin3a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]","ionotropic glutamate receptor activity [GO:0004970]","GO:0004970; GO:0016021; GO:0045211"
"A0A3B1JTF8","unreviewed","rerg","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","signal transduction [GO:0007165]","membrane [GO:0016020]","G protein activity [GO:0003925]; GTP binding [GO:0005525]","GO:0003925; GO:0005525; GO:0007165; GO:0016020"
"A0A3B1IXG1","unreviewed","erc2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]; presynaptic active zone [GO:0048786]","","GO:0005737; GO:0048786"
"W5KZQ8","unreviewed","arhgap22","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of GTPase activity [GO:0043547]; signal transduction [GO:0007165]","","GTPase activator activity [GO:0005096]","GO:0005096; GO:0007165; GO:0043547"
"W5LHJ8","unreviewed","lias","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein lipoylation [GO:0009249]","mitochondrion [GO:0005739]","4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]","GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553"
"W5L4H7","unreviewed","hdac2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","metal ion binding [GO:0046872]; NAD-dependent histone deacetylase activity (H3-K14 specific) [GO:0032041]","GO:0005634; GO:0032041; GO:0046872"
"A0A3B1JIS9","unreviewed","dok7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of protein tyrosine kinase activity [GO:0061098]","","protein kinase binding [GO:0019901]","GO:0019901; GO:0061098"
"W5LJZ3","unreviewed","mtss1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","actin cytoskeleton organization [GO:0030036]; plasma membrane organization [GO:0007009]","","actin binding [GO:0003779]","GO:0003779; GO:0007009; GO:0030036"
"A0A3B1J6S2","unreviewed","pkp4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell-cell adhesion [GO:0098609]; positive regulation of cytokinesis [GO:0032467]; positive regulation of GTPase activity [GO:0043547]","cell junction [GO:0030054]","","GO:0030054; GO:0032467; GO:0043547; GO:0098609"
"A0A3B1IJM3","unreviewed","cmklr1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0005886; GO:0016021"
"A0A3B1J053","unreviewed","katnal1 katna1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell cycle [GO:0007049]; cell division [GO:0051301]; spermatogenesis [GO:0007283]","centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; spindle pole [GO:0000922]","ATP binding [GO:0005524]; isomerase activity [GO:0016853]; microtubule binding [GO:0008017]; microtubule-severing ATPase activity [GO:0008568]","GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0007283; GO:0008017; GO:0008568; GO:0016853; GO:0051301"
"W5KZL2","unreviewed","elovl5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","fatty acid elongation, monounsaturated fatty acid [GO:0034625]; fatty acid elongation, polyunsaturated fatty acid [GO:0034626]; fatty acid elongation, saturated fatty acid [GO:0019367]; long-chain fatty acid biosynthetic process [GO:0042759]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; unsaturated fatty acid biosynthetic process [GO:0006636]; very long-chain fatty acid biosynthetic process [GO:0042761]","dendrite [GO:0030425]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]","3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]","GO:0005789; GO:0006636; GO:0009922; GO:0016021; GO:0019367; GO:0030425; GO:0034625; GO:0034626; GO:0035338; GO:0042759; GO:0042761; GO:0102336; GO:0102337; GO:0102338; GO:0102756"
